project	conf_18	num
WiFi共享	200172	20
《征途》怀旧版	200010	52
万王之王3	200006	15
五千年	200191	4
仙侠世界	200106	55
仙侠世界2	200164	39
光荣使命	200037	1
公司公共	200001	70
冰火大陆	200207	2
千军	200116	13
天书奇谭	200206	1
巨人	200003	55
巨人嘟嘟	200031	79
巨人江湖	200113	27
征程	200152	27
征途	None	48
征途2	200019	405
征途2动作版	200175	32
征途2手机版	200228	15
征途2经典版	200146	78
征途3	200233	12
征途免费版	200002	301
征途穿越版	200173	9
手游公共	200216	170
新古龙群侠传	200181	9
新平台	None	11
星云	200157	358
星际冲突	200222	12
模拟仿真	200125	2
游戏公共	200008	1759
炫斗封神	200141	1
犬夜叉	200204	6
球球大作战	200182	1335
秘境物语	200227	1
综合运营公共项目	200166	6
绿色征途	200028	20
绿色征途腾讯版	200117	7
航母争霸	200231	1
艾尔之光	200033	84
英雄大陆	None	3
街篮	200183	9
