project	conf_18	num
WiFi共享	200172	23
《征途》怀旧版	200010	51
万王之王3	200006	16
五千年	200191	4
仙侠世界	200106	67
仙侠世界2	200164	30
光荣使命	200037	1
公司公共	200001	67
冰火大陆	200207	1
千军	200116	22
天书奇谭	200206	1
巨人	200003	56
巨人嘟嘟	200031	84
巨人江湖	200113	34
征程	200152	27
征途	200132	48
征途2	200019	421
征途2动作版	200175	29
征途2手机版	200228	6
征途2经典版	200146	73
征途3	200233	19
征途免费版	200002	294
征途穿越版	200173	10
手游公共	200216	153
新古龙群侠传	200181	9
新平台	None	11
星云	200157	327
星际冲突	200222	2
模拟仿真	200125	2
游戏公共	200008	1649
炫斗封神	200141	1
犬夜叉	200204	7
球球大作战	200182	1152
秘境物语	200227	1
综合运营公共项目	200166	13
绿色征途	200028	34
绿色征途腾讯版	200117	7
艾尔之光	200033	102
街机三国	200193	2
街篮	200183	15
页游公共	200137	4
