project	conf_18	num
WiFi共享	200172	23
《征途》怀旧版	200010	54
万王之王3	200006	17
五千年	200191	4
仙侠世界	200106	67
仙侠世界2	200164	30
仙途	200025	3
光荣使命	200037	1
公司公共	200001	73
冰火大陆	200207	1
千军	200116	22
天书奇谭	200206	1
巨人	200003	59
巨人嘟嘟	200031	99
巨人江湖	200113	34
征程	200152	27
征途	200132	50
征途2	200019	432
征途2动作版	200175	29
征途2手机版	200228	6
征途2经典版	200146	75
征途3	None	15
征途免费版	200002	310
征途穿越版	200173	10
手游公共	200216	93
新古龙群侠传	200181	6
新平台	None	11
星云	200157	375
星际冲突	200222	1
模拟仿真	200125	2
武极天下	200151	1
游戏公共	200008	1875
炫斗封神	200141	1
犬夜叉	200204	7
球球大作战	200182	1028
球球大爆破	200214	3
秘境物语	200227	1
综合运营公共项目	200166	12
绿色征途	200028	35
绿色征途腾讯版	200117	7
艾尔之光	200033	101
街机三国	200193	2
页游公共	200137	5
