project_name:000000-空:031005-架构组-技术部,server_num:21,expense:31173.30
project_name:000000-空:031090-平台计费组-运营平台部,server_num:2,expense:951.00
project_name:200001-公司公共- 030643-项目管理部,server_num:2,expense:798.60
project_name:200001-公司公共-030011-法务部,server_num:1,expense:239.40
project_name:200002-征途免费版,server_num:13,expense:9199.86
project_name:200002-征途免费版:200207-征途挂机,server_num:1,expense:457.20
project_name:200008-游戏公共-客服工具,server_num:3,expense:2068.20
project_name:200008-游戏公共-官网论坛,server_num:5,expense:1937.40
project_name:200008-游戏公共-网络安全,server_num:16,expense:11304.90
project_name:200008-游戏公共-登陆计费充值,server_num:73,expense:64987.50
project_name:200008-游戏公共-游戏监控,server_num:15,expense:5101.48
project_name:200008-游戏公共-游戏更新,server_num:27,expense:17389.80
project_name:200008-游戏公共-数据分析,server_num:12,expense:10057.20
project_name:200010-征途怀旧版,server_num:47,expense:43019.70
project_name:200019-征途2,server_num:5,expense:10059.60
project_name:200028-绿色征途,server_num:44,expense:39423.00
project_name:200031-巨人嘟嘟,server_num:31,expense:12525.90
project_name:200033-艾尔之光,server_num:3,expense:2475.00
project_name:200106-仙侠世界,server_num:19,expense:14495.10
project_name:200113-巨人江湖,server_num:8,expense:7134.48
project_name:200116-千军,server_num:11,expense:15997.80
project_name:200117-绿色征途腾讯版,server_num:12,expense:11104.20
project_name:200120-新征途,server_num:45,expense:23630.64
project_name:200132-征途,server_num:9,expense:9138.30
project_name:200135-MONI玩,server_num:9,expense:5008.20
project_name:200146-征途2经典版,server_num:1,expense:2075.70
project_name:200151-武极天下,server_num:10,expense:13899.60
project_name:200152-征途口袋版,server_num:53,expense:38134.80
project_name:200157-星云,server_num:32,expense:20342.98
project_name:200158-大主宰,server_num:44,expense:21510.90
project_name:200164-仙侠世界2,server_num:3,expense:1614.86
project_name:200166-综合运营公共项目,server_num:9,expense:9690.00
project_name:200170-末世战纪,server_num:36,expense:22743.66
project_name:200172-WiFi共享,server_num:41,expense:56022.30
project_name:200173-征途穿越版,server_num:14,expense:12933.00
project_name:200175-征途2动作版,server_num:4,expense:2664.00
project_name:200178-刀剑2-侠魔志,server_num:7,expense:4891.50
project_name:200181-新古龙群侠传,server_num:12,expense:11816.28
project_name:200182-球球大作战,server_num:112,expense:146957.40
project_name:200182-球球大作战-萌球平台,server_num:5,expense:4485.60
project_name:200183-街篮,server_num:1,expense:689.40
project_name:200188-巨人武侠,server_num:12,expense:23039.13
project_name:200190-MUST,server_num:48,expense:23585.70
project_name:200191-五千年,server_num:8,expense:5969.40
project_name:200193-街机三国,server_num:11,expense:4615.20
project_name:200200-BesideM,server_num:2,expense:914.40
project_name:200204-犬夜叉,server_num:2,expense:1785.30
project_name:200205-星际冲突,server_num:3,expense:5951.75
project_name:200206-天书奇谭,server_num:1,expense:283.20
project_name:200211-征途3,server_num:3,expense:4035.30
project_name:200214-球球大爆破,server_num:3,expense:2576.70
project_name:200222-吞食星球,server_num:2,expense:130.64
project_name:200227-秘境物语,server_num:2,expense:3781.50
project_name:200228-征途2手机版,server_num:3,expense:1270.20
project_name:200229-怪物军团,server_num:2,expense:183.84
project_name:200231-航母争霸,server_num:1,expense:945.00
project_name:3D萌萌消,server_num:3,expense:1647.60
project_name:admin,server_num:16,expense:4405.16
project_name:坤鹏融资租赁,server_num:3,expense:3629.10
project_name:塔防,server_num:5,expense:1560.00
project_name:上复旦大学,server_num:2,expense:624.00
project_name:上海可酷,server_num:3,expense:1356.90
project_name:上海吉展,server_num:4,expense:667.20
project_name:上海破破飞网络,server_num:1,expense:624.30
project_name:上海绿岸,server_num:6,expense:2583.60
project_name:上海绿岸网络科技,server_num:5,expense:3180.30
project_name:上海炎锤网络,server_num:1,expense:301.20
project_name:上海益盟,server_num:3,expense:1937.70
project_name:上海鸿澄信息,server_num:1,expense:163.20
project_name:上海龙照,server_num:1,expense:650.40
project_name:上海昊恕信息,server_num:1,expense:439.80
project_name:云上云CDN,server_num:19,expense:13043.70
project_name:北京博睿,server_num:122,expense:178430.03
project_name:北邮星云,server_num:2,expense:656.70
project_name:光荣使命,server_num:5,expense:3157.20
project_name:纪学锋项目,server_num:2,expense:624.00
project_name:绿巨人,server_num:29,expense:42326.40
project_name:表情,server_num:2,expense:1291.80
project_name:鱼鹰软件,server_num:11,expense:3592.50
project_name:鸿游,server_num:5,expense:675.60
project_name:脑白金,server_num:9,expense:5835.60
project_name:金融分析-开发环境,server_num:8,expense:24496.50
project_name:金融分析-生产环境,server_num:8,expense:17528.70
project_name:huzhimeng_test,server_num:6,expense:3240.09
project_name:team-test,server_num:1,expense:113.10
project_name:test,server_num:8,expense:2868.00
project_name:UCloud,server_num:1,expense:166.80
project_name:yanghua_project,server_num:18,expense:7202.52
project_name:杭州雪狼,server_num:31,expense:26461.80
project_name:栖影创作CHIEEN,server_num:1,expense:798.30
project_name:深圳中青宝,server_num:4,expense:1451.40
project_name:新研发项目,server_num:2,expense:1502.40
project_name:新锐营(上海),server_num:6,expense:1960.20
